Tm,DRB%,G,BLK%,MP,ORtg,DRtg,ORB%,USG%
NJN,21.2,2,4.9,15:25,0,118,0.0,6.2
NJN,30.8,31,0.0,16:08,89,85,13.5,10.9
NJN,9.9,16,0.0,12:25,77,113,0.0,26.0
NJN,7.5,13,0.0,15:31,101,112,0.0,28.2
NJN,16.4,46,6.1,13:55,114,98,25.9,17.0
NJN,15.0,50,0.0,15:36,74,114,12.3,13.9
NJN,45.2,12,5.9,11:11,126,97,0.0,16.3
NJN,18.8,25,2.8,23:09,124,117,0.0,16.7
NJN,18.3,21,0.0,24:32,112,115,22.2,19.3
NJN,12.6,26,4.6,16:57,54,109,0.0,11.2
NJN,11.5,6,7.6,11:33,84,100,0.0,13.6
NJN,56.3,11,0.0,2:22, ,113,0.0,0.0
NJN,20.9,38,3.3,21:24,78,109,0.0,6.2
NJN,0.0,4,0.0,5:30,60,128,45.9,64.2
NJN,57.9,32,0.0,17:00,49,100,0.0,13.0
NJN,26.2,59,0.0,39:15,87,109,6.7,13.8
NJN,8.3,52,0.0,13:30,113,119,7.7,35.4
NJN,27.4,14,0.0,7:58,105,92,0.0,10.8
NJN,6.8,58,3.6,20:10,123,123,0.0,20.2
NJN,18.6,9,0.0,26:28,100,119,5.3,16.0
NJN,26.8,47,6.3,24:55,86,104,9.6,19.1
