cs,Date,2b,e
0,"Apr 25, 2008",1,0
0,"Feb 26, 2008",0,0
0,"Mar 11, 2008",2,2
0,"Mar 08, 2008",1,1
0,"May 10, 2008",2,3
0,"Apr 26, 2008",2,1
0,"Apr 11, 2008",1,1
0,"May 17, 2008",3,2
1,"May 03, 2008",4,1
0,"Apr 12, 2008",1,0
0,"May 23, 2008",5,1
0,"Feb 29, 2008",1,3
0,"Apr 18, 2008",2,1
0,"Apr 20, 2008",0,0
0,"May 09, 2008",2,2
0,"May 24, 2008",5,0
1,"Apr 27, 2008",7,1
1,"Mar 18, 2008",4,0
2,"Apr 04, 2008",3,2
0,"May 25, 2008",1,1
1,"Mar 20, 2008",3,0
0,"Apr 05, 2008",4,1
1,"May 16, 2008",2,1
0,"Mar 07, 2008",1,0
0,"Apr 19, 2008",1,1
0,"May 24, 2008",3,4
0,"Apr 06, 2008",3,0
0,"Mar 15, 2008",2,1
1,"May 11, 2008",5,1
0,"Mar 25, 2008",1,3
1,"Apr 12, 2008",0,2
0,"Apr 26, 2008",1,0
0,"Apr 01, 2008",6,0
1,"Feb 23, 2008",2,0
