ibb,wp,sv,ip,hbp,era,Date,l
0,2,12,6.0,0,3.42,"Apr 21, 2013",14
0,0,17,9.0,1,3.63,"May 17, 2013",20
0,2,1,9.0,0,2.62,"Feb 22, 2013",2
0,0,0,9.0,0,2.0,"Feb 16, 2013",0
0,0,17,11.0,1,3.7,"May 16, 2013",20
0,1,15,9.0,1,3.76,"May 10, 2013",20
2,1,20,12.1,2,3.75,"Jun 03, 2013",22
0,0,18,10.0,1,3.55,"May 23, 2013",20
5,37,20,571.0,52,3.75,Totals,22
0,1,1,9.0,0,2.68,"Feb 23, 2013",3
0,0,10,9.0,0,3.24,"Apr 12, 2013",12
0,0,10,8.0,1,3.38,"Apr 07, 2013",11
0,1,1,10.0,0,2.89,"Feb 17, 2013",0
0,0,7,9.0,0,2.98,"Mar 29, 2013",9
0,0,5,7.0,4,3.18,"Mar 17, 2013",8
0,0,3,9.0,1,2.52,"Feb 26, 2013",3
0,1,10,8.0,0,3.22,"Apr 06, 2013",10
0,2,14,9.0,0,3.77,"May 04, 2013",18
0,0,8,9.0,0,2.91,"Mar 31, 2013",9
0,0,5,9.0,1,2.75,"Mar 10, 2013",6
0,0,19,9.0,2,3.68,"Jun 02, 2013",21
0,0,11,9.0,0,3.2,"Apr 14, 2013",12
0,0,12,9.0,0,3.58,"Apr 26, 2013",16
0,0,18,9.0,0,3.6,"May 22, 2013",20
0,0,20,9.0,4,3.66,"Jun 02, 2013",21
0,0,5,9.0,3,3.06,"Mar 12, 2013",7
0,0,4,9.0,0,2.36,"Mar 08, 2013",5
0,0,5,9.0,1,3.05,"Mar 16, 2013",7
0,0,14,9.0,4,3.89,"May 05, 2013",19
0,0,11,8.0,0,3.2,"Apr 19, 2013",13
0,0,2,9.0,0,2.32,"Feb 24, 2013",3
0,0,4,9.0,0,2.37,"Mar 05, 2013",5
0,0,4,9.0,3,2.6,"Mar 09, 2013",6
0,0,4,9.0,1,2.58,"Mar 03, 2013",5
0,1,5,9.2,1,3.07,"Mar 23, 2013",9
0,0,14,9.0,1,3.54,"May 04, 2013",17
0,0,15,9.0,0,3.8,"May 10, 2013",20
0,0,6,9.0,0,3.06,"Mar 24, 2013",9
