Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Tim Hudson,SF,70,24,3,0,7,20,12,11,2,2,0.343,0.434,0.686,1.119
Derek Lowe, ,48,11,1,0,0,6,4,7,1,0,0.229,0.288,0.25,0.538
Mike Pelfrey,MIN,45,16,2,0,3,7,8,4,5,0,0.356,0.463,0.6,1.063
Livan Hernandez, ,39,12,0,0,4,8,6,10,2,0,0.308,0.391,0.615,1.007
Josh Johnson,SD,39,10,2,0,3,8,2,9,0,0,0.256,0.286,0.538,0.824
John Lannan,COL,39,9,2,0,3,8,3,14,3,1,0.231,0.348,0.513,0.861
Ricky Nolasco,MIN,38,11,6,0,4,7,9,8,1,0,0.289,0.426,0.763,1.189
Scott Olsen, ,36,15,3,0,2,9,2,7,0,0,0.417,0.462,0.667,1.128
Tim Lincecum,SF,36,10,2,0,5,9,6,12,0,0,0.278,0.381,0.75,1.131
Pedro Feliciano, ,36,7,1,0,1,4,2,14,0,0,0.194,0.237,0.306,0.542
Jair Jurrjens,COL,33,8,0,1,1,3,3,4,2,0,0.242,0.306,0.394,0.699
Aaron Harang,PHI,32,12,2,0,4,10,7,6,1,0,0.375,0.487,0.813,1.3
Kyle Lohse,MIL,32,12,2,0,2,8,4,10,1,0,0.375,0.444,0.625,1.069
Anibal Sanchez,DET,31,9,2,0,2,4,11,9,1,0,0.29,0.476,0.548,1.025
Paul Maholm, ,30,7,1,0,2,9,2,8,1,0,0.233,0.281,0.467,0.748
Oliver Perez,AZ,28,5,0,0,1,5,2,14,1,0,0.179,0.25,0.286,0.536
Tim Redding, ,28,3,1,0,0,1,3,11,1,0,0.107,0.194,0.143,0.336
Chris Volstad,PIT,27,14,2,0,8,14,5,5,1,0,0.519,0.594,1.481,2.075
Tom Glavine, ,27,7,0,0,2,5,5,8,0,1,0.259,0.394,0.481,0.875
Jason Marquis, ,27,7,0,0,1,4,6,5,2,0,0.259,0.394,0.37,0.764
Dillon Gee,NY-N,26,11,2,0,7,16,1,7,0,0,0.423,0.444,1.308,1.752
Jon Niese,NY-N,26,4,0,0,1,4,1,12,0,0,0.154,0.207,0.269,0.476
Aaron Cook, ,25,10,3,0,2,4,1,2,1,0,0.4,0.423,0.76,1.183
Dave Bush, ,25,9,3,0,3,6,3,3,0,1,0.36,0.429,0.84,1.269
Johan Santana, ,25,8,0,0,4,7,2,5,1,0,0.32,0.37,0.8,1.17
Randy Wolf,TOR,25,6,2,0,2,4,1,9,2,0,0.24,0.269,0.56,0.829
Stephen Strasburg,WAS,25,5,1,0,0,2,2,10,2,0,0.2,0.259,0.24,0.499
Brian Moehler, ,24,11,3,0,3,8,2,5,2,0,0.458,0.519,0.958,1.477
Dan Haren,CHI-N,24,6,0,0,4,8,2,11,3,0,0.25,0.333,0.75,1.083
John Maine, ,24,6,1,0,2,7,3,4,0,0,0.25,0.333,0.542,0.875
Adam Wainwright,STL,24,6,0,0,0,3,6,8,0,0,0.25,0.4,0.25,0.65
A.J. Burnett,PIT,24,5,0,0,3,3,0,8,1,0,0.208,0.208,0.583,0.792
Mike Dunn,MIA,23,5,1,0,1,6,3,12,0,0,0.217,0.321,0.391,0.713
Bronson Arroyo,LA,23,4,2,0,1,2,0,9,0,0,0.174,0.174,0.391,0.565
Roy Oswalt, ,22,8,2,0,2,7,4,8,0,0,0.364,0.462,0.727,1.189
Homer Bailey,CIN,22,5,1,0,1,5,2,6,1,1,0.227,0.292,0.409,0.701
R.A. Dickey,TOR,22,4,0,0,0,2,0,5,0,0,0.182,0.182,0.182,0.364
Jordan Zimmermann,WAS,22,3,1,0,1,2,2,8,1,0,0.136,0.24,0.318,0.558
Javier Vazquez, ,21,8,2,0,4,8,5,4,0,0,0.381,0.481,1.048,1.529
Mike Leake,SF,21,7,1,0,2,5,2,4,0,0,0.333,0.417,0.667,1.083
Ted Lilly, ,21,5,1,0,2,5,0,7,2,0,0.238,0.238,0.571,0.81
Johnny Cueto,KC,21,4,2,1,1,1,4,6,0,0,0.19,0.32,0.524,0.844
Julio Teheran,ATL,21,4,1,0,2,2,0,4,0,1,0.19,0.19,0.524,0.714
Andrew Miller,NY-A,20,4,0,0,1,10,3,8,4,0,0.2,0.292,0.35,0.642
Sean Marshall,CIN,19,6,1,0,0,5,3,6,2,0,0.316,0.435,0.368,0.803
Josh Beckett, ,19,5,2,0,1,6,0,7,0,0,0.263,0.263,0.526,0.789
Bartolo Colon,NY-N,19,4,0,0,2,7,1,1,0,0,0.211,0.238,0.526,0.764
Will Ohman, ,19,4,1,1,1,3,0,10,0,1,0.211,0.211,0.526,0.737
Carlos Zambrano, ,19,4,1,0,0,2,3,4,0,0,0.211,0.318,0.263,0.581
Matt Cain,SF,19,3,0,0,3,6,1,7,0,0,0.158,0.2,0.632,0.832
Eric O'Flaherty,OAK,19,2,1,0,0,1,2,9,2,0,0.105,0.227,0.158,0.385
Mike Minor,ATL,18,7,0,0,3,8,1,8,1,0,0.389,0.421,0.889,1.31
Brad Penny,CHI-A,18,5,0,0,1,2,2,8,0,0,0.278,0.35,0.444,0.794
Jo-Jo Reyes,ANA,18,5,2,0,1,2,1,6,0,0,0.278,0.316,0.556,0.871
Jason Bergmann, ,18,4,0,0,1,4,7,7,0,0,0.222,0.44,0.389,0.829
Ervin Santana,MIN,18,4,0,0,2,6,3,6,1,0,0.222,0.333,0.556,0.889
