TOV,FGM,PF,Player,3PM
1.4,3.9,2.6,Carlos Strong,1.9
1.4,2.6,1.1,Jon Iati,1.9
1.8,4.0,2.6,Brian Connelly,0.1
2.0,4.2,2.1,Alvin Abreu,2.1
1.1,5.2,2.5,Cavell Johnson,0.2
3.0,3.7,2.7,Mike Christensen,1.8
1.8,5.9,2.8,Darryl Proctor,0.0
2.6,3.7,2.7,Brian Andre,0.0
2.2,2.7,1.7,Jaret Von Rosenberg,1.1
1.2,2.7,2.2,Reggie Fuller,0.0
3.7,6.0,2.6,Mike Trimboli,2.0
2.5,4.7,2.5,Ricky Lucas,1.9
2.2,1.6,2.4,Nick Vier,0.7
2.7,2.6,3.3,Michael Turner,1.0
1.3,3.4,2.6,Brent Wilson,2.1
2.0,1.7,1.6,Josh Martin,0.8
1.5,2.1,2.4,Sean McNally,0.3
