col6,col2,col17,col14,col12,col15,col1
лице,veidas,лице,tvár; obličaj,wobličo,obraz; obličje,face
страх,baimė,страх,strach,strach,strah,fear
сир,sūris,сир,syr,twarožk,sir,cheese
попіл,pelenai,пепео,popol,popjeł,pepel,ash(es)
ворог,priešas,непријатељ,nepriateľ,njepřećel,sovražnik,enemy
музика,muzika,музика,hudba,hudźba,godba; glasba,music
повітря,oras,ваздух,vzduch; povetrie,powětr,zrak,air
пустеля,dykuma,пустиња,púšť,pusćina,pustinja,desert
човен,valtis,чамац; чун,čln,čołm; łódź,čoln,boat
бджола,bitė,пчела,včela,pčoła,čebela,bee
син,sūnus,син,syn,syn,sin,son
кінь,arklys; žirgas,коњ,kôň,kóń,konj,horse
кава,kava,кафа,káva,kofej,kava,coffee
вишня,trešnė; vyšnia,трешња; вишња,čerešňa,třěšnja; wišnja,češnja,cherry
ukr,lit,srp,slk,hsb,slv,eng
вода,vanduo,вода,voda,woda,voda,water
ukr,lit,srp,slk,hsb,slv,eng
горох,žirnis,грашак,hrach,hroch,grah,pea
весна,pavasaris,пролеће,jar,nalěćo,pomlad,spring(time)
учора; вчора,vakar,јуче,včera,wčera,včeraj,yesterday
вівця,avis,овца,ovca,wowca,ovca,sheep
брат,brolis,брат,brat,bratr,brat,brother
молодий,jaunas,млад,mladý,młody,mlad,young
ukr,lit,srp,slk,hsb,slv,eng
сестра,sesuo,сестра,sestra,sotra,sestra,sister
сова,pelėda,сова,sova,sowa,sova,owl
голка,adata,игла,ihla,jehła,igla,needle
тюльпан,tulpė,лала,tulipán,tulpa,tulipan,tulip
сторінка,puslapis,страница,strana,strona,stran,page
пшениця,kviečiai,пшеница,pšenica,pšeńca,pšenica,wheat
зелений,žalias,зелен,zelený,zeleny,zelen,green
молоко,pienas,млеко,mlieko,mloko,mleko,milk
пісок,smėlis; smiltis,песак,piesok,pěsk,pesek,sand
секунда,sekundė,секунда,sekunda,sekunda,sekunda,second
вухо,ausis,уво,ucho,wucho,uho,ear
цибуля,svogūnas,лук,cibuľa,cybla,čebula,onion
голос,balsas,глас,hlas,hłós,glas,voice
сокира,kirvis,секира,sekera,sekera,sekira,axe
яйце,kiaušinis,јаје,vajce,jejo,jajce,egg
шовк,šilkas,свила,hodváb,žida,svila,silk
релігія,religija,религија,náboženstvo,nabožina,religija,religion
голуб,balandis; karvelis,голуб,holub,hołb,golob,pigeon; dove
острів,sala,острво,ostrov,kupa,otok,island
планета,planeta,планета,obežnica; planéta,planet,planeta,planet
тварина,gyvūnas; gyvulys,животиња,zviera,zwěrjo,žival,animal
борошно; мука,miltai,брашно,múka,muka,moka,flour
дах,stogas,кров,strecha,třěcha,streha,roof
ukr,lit,srp,slk,hsb,slv,eng
вино,vynas,вино,víno,wino,vino,wine
народ,tauta,народ,národ; ľud,lud; narod,narod,people
нирка,inkstas,бубрег,oblička; ľadvina,jěrcheń,ledvica,kidney
метелик,drugelis; drugys; plaštakė,лептир,motýľ,mjetel,metulj,butterfly
губа,lūpa,усна,pera; pysk,huba,ustnica,lip
ангел,angelas,анђео,anjel,jandźel,angel,angel
свиня,kiaulė,свиња,sviňa,swinjo,svinja; prašič,pig
ніж,peilis,нож,nôž,nóž,nož,knife
ukr,lit,srp,slk,hsb,slv,eng
сьогодні,šiandien,данас,dnes,dźensa,danes,today
ріка,upė,река,rieka,rěka,reka,river
людина; мужчина,vyras,мушкарац,muž,muž,mož,man
сталь,plienas,челик,oceľ,wocl,jeklo,steel
стіл,stalas,сто,stôl,blido,miza,table
бик,bulius,бик,býk,byk,bik,bull
гора,kalnas,гора; планина,hora,hora,gora,mountain
життя,gyvenimas,живот,život,žiwjenje,življenje,life
кість,kaulas,кост,kosť,kósć,kost,bone
жаба,varlė,жаба,žaba,žaba,žaba,frog
папір,popierius,хартија; папир,papier,papjera,papir,paper
вовк,vilkas,вук; курјак,vlk,wjelk,volk,wolf
око,akis,око,oko,woko,oko,eye
ukr,lit,srp,slk,hsb,slv,eng
троянда; рожа,rožė,ружа,ruža,róža,roža,rose
свічка,žvakė,свећа,sviečka; svieca,swěčka,sveča,candle
дорога; путь,kelias,пут,cesta,dróha,pot,road
море,jūra,море,more,morjo,morje,sea
ukr,lit,srp,slk,hsb,slv,eng
озеро,ežeras,језеро,jazero,jězor,jezero,lake
корова,karvė,крава,krava,kruwa,krava,cow
хліб,duona,хлеб,chlieb,chlěb,kruh,bread
словник,žodynas,речник,slovník,słownik,besednjak; slovar,dictionary
час,laikas,време,čas,čas,čas,time
завтра,rytoj,сутра,zajtra,jutře,jutri,tomorrow
король,karalius,краљ,kráľ,kral,kralj,king
квітка,gėlė,цвет,kvet; kvetina,kwětka,cvetica,flower
мавпа,beždžionė,мајмун,opica,wopica,opica,monkey; ape
ukr,lit,srp,slk,hsb,slv,eng
молитва,malda,молитва,modlitba,modlitwa; paćer,molitev,prayer
долина,klonis; slėnis,долина,údolie; dolina,doł,dolina,valley
правда; істина,tiesa,истина,pravda,wěrnosć,resnica,truth
мати,motina,мајка; мати,matka; mať,mać,mati,mother
погода,oras,време,počasie,wjedro,vreme,weather
олія,aliejus,уље,olej,wolij,olje,oil
підборіддя,smakras,брада; подбрадак,brada,broda,brada,chin
ukr,lit,srp,slk,hsb,slv,eng
нога,koja,нога,noha,noha,noga,leg
ягня,ėriukas,јагње,jahňa; baranča,jehnjo,jagnje,lamb
оцет,actas,сирће,ocot,kisało,kis; ocet,vinegar
постіль; ліжко,lova,кревет; постеља,posteľ; lôžko,łožo,postelja,bed
ім’я,vardas,име,meno,mjeno,ime,name
борода,barzda,брада,brada,broda,brada,beard
палець,pirštas,прст,prst,porst,prst,finger
ukr,lit,srp,slk,hsb,slv,eng
середина,vidurys,средина,stred,srjedźizna,sreda; sredina,middle
небо,dangus,небо,nebo,njebjo,nebo,sky
номер,numeris,број,číslo,čisło,številka,number
бог,dievas,бог,boh,bóh,bog,god
корабель,laivas,брод; лађа,loď,łódź,ladja,ship
миш,pelė,миш,myš,myš,miš,mouse
бавовна,medvilnė,памук,bavlna,bałma,bombaž,cotton
ukr,lit,srp,slk,hsb,slv,eng
дощ,lietus,киша,dážď,dešć,dež,rain
зоря,žvaigždė,звезда,hviezda,hwězda,zvezda,star
курка,višta,кокош,kurča,kokoš,kokoš,hen
коза,ožka,коза,koza,koza,koza,goat
ніч,naktis,ноћ,noc,nóc,noč,night
мурашка,skruzdė; skruzdėlė,мрав,mravec,mrowja,mravlja,ant
голова,galva,глава,hlava,hłowa,glava,head
зуб,dantis,зуб,zub,zub,zob,tooth
змія,angis; gyvatė,змија; гуја,had,had,kača,snake
гуска,žąsis,гуска,hus,huso,gos,goose
буква; літера,raidė,слово,písmeno; litera,pismik,črka,letter (alphabet)
ukr,lit,srp,slk,hsb,slv,eng
ukr,lit,srp,slk,hsb,slv,eng
хмара,debesis,облак,oblak; mračno,mróčel,oblak,cloud
гроші,pinigai,новац,peniaze,pjenjezy,denar,money
дім,namas,дом; кућа,dom,dom,hiša; dom,house
родина; сім’я,šeima,породица,rodina,swójba,družina,family
пес; собака,šuo,пас,pes,pos; psyk,pes,dog
голод,alkis; badas,глад,hlad,hłód,lakota; glad,hunger
віл,jautis,во,vôl,woł,vol,ox
вітер,vėjas,ветар,vietor,wětřik,veter,wind
воша,utėlė,вашка,voš,woš,uš,louse
